name,perfume_url,brand,type,year,gender,family,image_url,concentration,facettes,date_creation,parfumeurs,description_title,description_text,notes_tete,notes_coeur,notes_fond
Jaïpur Homme,https://www.olfastory.com/parfum/jaipur-homme,Boucheron,Eau de parfum,1997,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/jaipur-homme.jpg?itok=S4nQK8xq,Eau de parfum,Epicée;Fleurie,1997,Annick Menardo,Inconnu,"Jaïpur est le nom de la capitale du Rajasthan, l'État indien le plus connu au monde, notamment grâce à la présence de l'emblématique Taj Mahal. Aussi, si Boucheron a choisi de donner ce nom à son parfum, c'est tout simplement parce que cette enseigne a toujours puisé son inspiration au cœur de la culture indienne.",Bergamote;Citron;Géranium,Cannelle;Cardamome;Girofle,Iso E Super;Vanille
Happy for Men,https://www.olfastory.com/parfum/happy-men,Clinique,Eau de toilette,1999,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/happy-for-men.jpg?itok=3VNQak56,Eau de toilette,Aromatique;Fruitée,1999,Inconnu,"Happy for Men, le bonheur version homme","Happy for Men, le bonheur version hommeFondée aux États-Unis en 1968, la marque Clinique se veut immédiatement différente. Tous les produits de la marque sont hypoallergéniques et Clinique crée ainsi l’évènement.",Yuzu;Orange;Citron,Inconnu,Bois de gaiac;Cèdre;Cyprès
Jules,https://www.olfastory.com/parfum/jules,Christian Dior,Eau de toilette,1980,Homme,Chyprée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/jules-dior.jpg?itok=FFx86vA6,Eau de toilette,Aromatique;Cuir,1980,Inconnu,"Jules : Un parfum fort, un parfum pour nos « mecs »","Jules : Un parfum fort, un parfum pour nos « mecs »Dior la si élégante et charmeuse maison de parfumerie a, avec Jules, plongé en 1980 dans une impertinence qui jusqu’ici ne lui ressemblait guère… Et pourtant !",Armoise;Laurier;Sauge sclarée,Poivre noir;Oeillet;Galbanum,Cèdre
Hommage à l'Homme,https://www.olfastory.com/parfum/hommage-lhomme,Lalique,Eau de toilette,2012,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/hommage-a-l-homme.jpg?itok=orq2corB,Eau de toilette,Boisée;Cuir;Verte,2012,Christine Nagel;Mathilde Bijaoui,Hommage à l’Homme : Lalique a fêté ses 20 ans de parfumerie !,"Hommage à l’Homme : Lalique a fêté ses 20 ans de parfumerie !Outre la réédition de cristal du premier parfum Lalique, la maison de parfumerie a réservé à ces messieurs une très belle surprise pour fêter ses vingt ans d’existence : Hommage à l’Homme.",Safran;Bergamote;Feuille de violette,Poivre noir;Violette,Vétiver;Muscs blancs;Cuir;Oud;Cèdre;Ciste
Light Blue pour Homme,https://www.olfastory.com/parfum/light-blue-pour-homme,Dolce & Gabbana,Eau de toilette,2007,Homme,Aromatique,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/light-blue-pour-homme.jpg?itok=Q5IKNomo,Eau de toilette,Boisée,2007,Alberto Morillas,Light Blue pour Homme : Un bel italien sexy et moderne...,"Light Blue pour Homme : Un bel italien sexy et moderne...Après nous avoir exhaler les senteurs fraiches et acidulées de Light Blue en 2001, Dolce & Gabbana en propose une version masculine, Light Blue pour homme, en 2007.",Mandarine;Pamplemousse;Romarin;Bergamote;Baies roses,Poivre noir;Genièvre,Mousse de chêne;Bois ambrés;Muscs blancs;Encens
La Nuit de l'Homme Frozen Cologne,https://www.olfastory.com/parfum/la-nuit-de-lhomme-frozen-cologne,Yves Saint Laurent,Eau de toilette,2012,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/la-nuit-de-l-homme-frozen-cologne.jpg?itok=zXWKE1y0,Eau de toilette,Aromatique,2012,Inconnu,Inconnu,"La marque de luxe Yves Saint Laurent propose une nouvelle variante de son Eau de Toilette La Nuit de l’Homme. La Frozen Cologne fait son apparition et offre une sensation inédite. Cette dernière est saisissante. « Elle claque telle une gifle glacée, dont la peau garde en mémoire la sensation. »",Mandarine;Poivre noir;Bergamote;Citron,Lavande;Menthe;Géranium;Sauge sclarée,Vétiver;Fève tonka;Cèdre;Cashmeran
Bel Ami Vétiver,https://www.olfastory.com/parfum/bel-ami-vetiver,Hermès,Eau de toilette,2014,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/bel-ami-vetiver.jpg?itok=Y8HtXtbn,Eau de toilette,Chyprée;Cuir,2014,Jean-Claude Ellena,"Bel Ami Vétiver, une réinterprétation sensuelle","Bel Ami Vétiver, une réinterprétation sensuelleL’histoire de la maison Hermès, c’est l’histoire de Thierry Hermès qui ouvre sa boutique en 1837. Au départ, c’est une boutique spécialisée dans les accessoires pour chevaux, harnais, selles…",Bergamote;Citron,Cannelle;Girofle,Mousse de chêne;Vétiver;Patchouli;Bois de gaiac;Encens;Fir balsam
Presence,https://www.olfastory.com/parfum/presence,Montblanc,Eau de toilette,2001,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/presence-homme-montblanc.jpg?itok=IIScFH95,Eau de toilette,Aromatique;Epicée,2001,Corinne Cachen,Inconnu,Corinne Cachen est une créatrice à part entière. Ce nez renommé sur la planète entière est davantage passionné d'art en général que de parfumerie à proprement parler. Ses idées permettent toujours au consommateur de s'évader très loin et Corinne Cachen ne se soucie aucunement des tendances.,Menthe;Girofle,Caramel;Groseille;Carotte,Muscs blancs;Figue;Hysope
Eau de Lacoste L.12.12 Bleu,https://www.olfastory.com/parfum/eau-de-lacoste-l1212-bleu,Lacoste,Eau de toilette,2011,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/eau-de-lacoste-bleu.jpg?itok=Dtcvaee_,Eau de toilette,Aromatique;Fruitée;Marine,2011,Inconnu,Inconnu,,Pamplemousse;Bergamote;Citron,Fleur d'Oranger;Note verte;Sauge sclarée,Vétiver;Cèdre
Boss Orange Man,https://www.olfastory.com/parfum/boss-orange-man,Hugo Boss,Eau de toilette,2012,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/boss-orange-man.jpg?itok=ymXCwMsv,Eau de toilette,Boisée;Cuir,2012,Inconnu,Inconnu,"C'est en 2009 que le premier Boss Orange a fait son apparition. Néanmoins, celui-ci se destinait, à l'époque, à la gent féminine. Aussi, il fallut attendre 2011 pour que ces Messieurs aient également droit à leur concentré de vivacité signé Hugo Boss.",Pamplemousse;Dihydromyrcénol,Pomme;Cardamome;Poivre noir;Coriandre,Bois ambrés;Patchouli;Vanille;Coumarine;Cuir;Encens
Guess Seductive Homme,https://www.olfastory.com/parfum/guess-seductive-homme,Guess,Eau de toilette,2012,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/guess-seductive-homme.jpg?itok=LFsHLkMD,Eau de toilette,Ambrée;Aromatique,2012,Frank Voelkl;Ilias Ermenidis,"Guess Seductive Homme, le charisme masculin à son apogée","Guess Seductive Homme, le charisme masculin à son apogéeL’histoire de la marque Guess commence à Marseille, là où quatre frères fondent un atelier de confection de cravates.",Mandarine;Cardamome;Baies roses,Feuille de violette,Vétiver;Bois ambrés;Patchouli;Vanille;Santal
Reveal Men,https://www.olfastory.com/parfum/reveal-men,Calvin Klein,Eau de toilette,2015,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/reveal-men.jpg?itok=5OT9RBFK,Eau de toilette,Aromatique;Marine,2015,Rodrigo Flores-Roux;Olivier Gillotin,"Reveal Men, l’homme séducteur de Calvin Klein","Reveal Men, l’homme séducteur de Calvin KleinFils d’émigrés hongrois juifs, Calvin Klein a grandi dans le Bronx dans un monde d’après-guerre.",Menthe;Bergamote;Badiane,Note marine;Hédione,Vétiver;Vanille;Coumarine;Cuir;Ambre gris;Lait chaud
Yatagan,https://www.olfastory.com/parfum/yatagan,Caron,Eau de toilette,1976,Homme,Chyprée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/yatagan-caron.jpg?itok=gcjUpTzL,Eau de toilette,Aromatique,1976,Inconnu,"Yatagan, les contrées lointaines en héritage","Yatagan, les contrées lointaines en héritageErnest Daltroff rachète la parfumerie-mercerie « La maison d’Émilia » en 1902. Cette dernière deviendra la maison Caron avec tout le succès qu’on lui connait. Caron symbolise le savoir-faire ancestral et la qualité.",Ciste;Petitgrain;Basilic,Armoise;Menthe,Patchouli;Encens;Labdanum
Eau de Lacoste L.12.12 Rouge,https://www.olfastory.com/parfum/eau-de-lacoste-l1212-rouge,Lacoste,Eau de toilette,2012,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/eau-de-lacoste-rouge.jpg?itok=0ZVi5m0R,Eau de toilette,Aromatique;Nouvelle Fraîcheur,2012,Inconnu,"Eau de Lacoste Rouge : Un polo rouge, un parfum enflammé...","Eau de Lacoste Rouge : Un polo rouge, un parfum enflammé...Afin de célébrer le tout premier anniversaire de la jolie collection aux trois flacons L. 12. 12., Lacoste choisit d’agrandir la famille colorée des fragrances avec une pimentée Eau de Lacoste Rouge.",Mandarine;Poivre noir;Thé,Lavande;Cardamome;Mangue;Gingembre,Vétiver;Iso E Super;Labdanum;Cèdre
Play Intense,https://www.olfastory.com/parfum/play-intense,Givenchy,Eau de toilette,2008,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/play-intense.jpg?itok=NPY9RRvD,Eau de toilette,Fougère,2008,Lucas Sieuzac;Emilie Coppermann,"Play Intense, la fragrance de l’homme d’aujourd’hui","Play Intense, la fragrance de l’homme d’aujourd’huiGivenchy est une maison de couture créée par Hubert de Givenchy en 1952. Rapidement, la maison étend ses compétences à d’autres domaines comme la maroquinerie, les bijoux, parfums…",Mandarine;Lavande;Bergamote,Pomme;Poivre noir;Ananas,Vétiver;Bois ambrés;Patchouli;Fève tonka;Café;Labdanum
Paco Rabanne pour Homme,https://www.olfastory.com/parfum/paco-rabanne-pour-homme,Paco Rabanne,Eau de toilette,1973,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/paco-rabanne-pour-homme.jpg?itok=utm3sQA3,Eau de toilette,Aromatique,1973,Jean Martel,"Paco Rabanne pour Homme, le parfum de tous les hommes","Paco Rabanne pour Homme, le parfum de tous les hommesAudacieux, extravagant, anti conformiste… Paco Rabanne est reconnu dans le monde de la mode pour ses idées qui sont différentes de celles des autres créateurs.",Lavande;Romarin;Bergamote;Thym,Estragon;Girofle;Géranium,Mousse de chêne;Vétiver;Coumarine;Tabac;Ciste
Vetyver,https://www.olfastory.com/parfum/vetyver,Givenchy,Eau de toilette,2007,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/givenchy-vetyver.jpg?itok=ww0CocBQ,Eau de toilette,Hespéridée;Nouvelle Fraîcheur,2007,François Robert,"Vétyver, le parfum sur mesure","Vétyver, le parfum sur mesureLa maison de couture Givenchy a été fondée par le conte Hubert de Givenchy en 1952. Le style de Givenchy est donc tout naturellement celui d’Hubert qui mélange harmonieusement le chic décontracté avec le classique ou encore avec  l’aristocratique féminin.",Bergamote;Genièvre;Limette,Noix de muscade;Jasmin;Thym,Muscs blancs;Cèdre
Tomo,https://www.olfastory.com/parfum/tomo,Annayaké,Eau de toilette,2007,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/annayake-tomo.jpg?itok=ThCCc9mK,Eau de toilette,Aromatique;Boisée,2007,Henri Bergia,Inconnu,Tomo est un parfum d'origine asiatique signé de la marque Annayake. Celui-ci se brandit tel un totem avec pour seule ambition de vous suivre « jusqu'au bout de la nuit ». Tomo apparaît tel un séducteur capable de dévoiler une « sensualité électrique et à fleur de peau » à chacun de ses souffles.,Romarin;Lavande;Citron,Coriandre;Sauge sclarée,Labdanum;Fève tonka;Muscs blancs;Benjoin
Au Masculin Intense,https://www.olfastory.com/parfum/au-masculin-intense,Lolita Lempicka,Eau de parfum,2015,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/au-masculin-intense-lolita-lempicka.jpg?itok=NihPLUAh,Eau de parfum,Aromatique;Gourmande,2015,Annick Menardo,Au Masculin Intense : L’homme selon Lolita Lempicka,Au Masculin Intense : L’homme selon Lolita LempickaLa gamme des parfums Au Masculin propose depuis 2000 l’univers féérique et imaginatif de Lolita Lempicka à ces messieurs.,Menthe;Badiane,Noix de muscade,Patchouli;Vanille;Coumarine;Myrrhe;Réglisse
Au Masculin,https://www.olfastory.com/parfum/au-masculin,Lolita Lempicka,Eau de toilette,2000,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/au-masculin-lolita-lempicka.jpg?itok=hO6FZxVr,Eau de toilette,Aromatique;Gourmande,2000,Annick Menardo,Au Masculin : Le premier parfum masculin de Lolita Lempicka,"Au Masculin : Le premier parfum masculin de Lolita LempickaAprès nous avoir propulsé dans des élixirs parfumés poétiques totalement féminins, Lolita Lempicka propose à ces messieurs de leur ouvrir la porte de son monde fantastique en 2000 grâce à Au Masculin, composé par Annick Menardo.",Menthe;Anis,Rhum;Note verte,Vétiver;Vanille;Muscs blancs;Santal;Praline;Réglisse
Eau de Lacoste L.12.12 Jaune,https://www.olfastory.com/parfum/eau-de-lacoste-l1212-jaune,Lacoste,Eau de toilette,2015,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/eau-de-lacoste-jaune.jpg?itok=hcAe8Dc0,Eau de toilette,Aromatique;Marine,2015,Inconnu,"Eau de Lacoste Jaune : Un jeu, set et match tout en énergie positive...","Eau de Lacoste Jaune : Un jeu, set et match tout en énergie positive...En 2015, le succès de la gamme L. 12. 12. de Lacoste n’a plus rien à prouver.",Menthe;Pamplemousse;Orange;Citron;Eucalyptus,Aldéhydes;Girofle;Note marine;Coriandre;Ananas,Benjoin;Bois ambrés;Vanille
The Beat for Men,https://www.olfastory.com/parfum/beat-men,Burberry,Eau de toilette,2009,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/the-beat-men.jpg?itok=iPAKWNqm,Eau de toilette,Epicée;Hespéridée,2009,Dominique Ropion;Olivier Polge,Inconnu,"Après la création de The Beat en 2008, ce fut au tour de The Beat Men de faire son apparition un an plus tard afin de satisfaire les attentes de la gent masculine.",Cédrat,Feuille de violette,Vétiver;Poivre noir
Annayaké Pour Lui,https://www.olfastory.com/parfum/annayake-pour-lui,Annayaké,Eau de toilette,2000,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/annayake-pour-lui.jpg?itok=PyDKvtKc,Eau de toilette,Boisée;Verte,2000,Christophe Raynaud,Inconnu,"Si l'enseigne Annayake est pour la plupart d'entre nous synonyme de cosmétiques haut de gamme, sachez que son univers s'étend désormais au secteur de la parfumerie.",Mandarine;Pomme;Bergamote,Lavande;Feuille de violette;Maté,Patchouli;Géranium
Weekend for Men,https://www.olfastory.com/parfum/weekend-men,Burberry,Eau de toilette,1997,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/weekend-for-men.jpg?itok=c2vYAYK0,Eau de toilette,Fleurie,1997,Michel Almairac,Inconnu,"Le seul nom de ce parfum suffit à donner le sourire ! Et oui, quoi de plus appréciable que le week-end ! Qui plus est, cela peut laisser libre cours à l'imagination de chacun en fonction que vous préfériez vous reposer à la montagne, au bord de la mer, lors d'un pique-nique à la campagne, en famille ou entre amis...",Pamplemousse;Bergamote;Citron,Note verte;Melon;Ananas,Muscs blancs
Calvin Klein Man,https://www.olfastory.com/parfum/calvin-klein-man,Calvin Klein,Eau de toilette,2008,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/calvin-klein-man.jpg?itok=DKndVSU7,Eau de toilette,Aromatique;Epicée;Nouvelle Fraîcheur,2008,Jacques Cavallier;Harry Frémont,"Calvin Klein Man, la quintessence de l’homme moderne","Calvin Klein Man, la quintessence de l’homme moderneCalvin Klein est un enfant d’émigrés polonais juifs installés à New York. Né en 1942, Calvin Klein va grandir dans le monde de l’après-guerre. Il se passionne très jeune pour la beauté et la mode et fonde son entreprise à 26 ans, avec l’aide de son ami d’enfance.",Mandarine;Noix de muscade;Menthe;Romarin;Bergamote;Laurier;Cyprès,Feuille de violette,Muscs blancs;Ambre;Bois de gaiac;Encens
Contradiction for Men,https://www.olfastory.com/parfum/contradiction-men,Calvin Klein,Eau de toilette,1999,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/contradiction-for-men.jpg?itok=GLcIqLlt,Eau de toilette,Aromatique;Boisée,1999,Inconnu,"Contradiction, la personnalité multi-facettes de l’homme","Contradiction, la personnalité multi-facettes de l’hommeCalvin Klein, de son vrai nom Richer Klein, est un passionné de mode dès sa tendre enfance. Il grandit dans un monde de l’après-guerre et veut réaliser ses rêves. À 26 ans à peine, il crée son entreprise, avec l’aide de son ami d’enfance.",Note verte;Coriandre;Sauge sclarée,Lavande;Cardamome,Vétiver;Patchouli
Boss in Motion,https://www.olfastory.com/parfum/boss-motion,Hugo Boss,Eau de toilette,2002,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/boss-in-motion.jpg?itok=vIQURDDJ,Eau de toilette,Epicée;Fougère,2002,Domitille Michalon,Inconnu,"Hugo Boss est une enseigne qui a toujours affiché son ambition de soutenir les hommes au quotidien et de les faire se dépasser. Aussi, pour poursuivre dans cette voie, la marque Hugo Boss a créé le parfum Boss In Motion.",Bergamote;Baies roses;Basilic,Noix de muscade;Cannelle;Cardamome,Vétiver;Muscs blancs;Santal;Fève tonka
Balmain Homme,https://www.olfastory.com/parfum/balmain-homme,Balmain,Eau de toilette,2015,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/balmain-homme.jpg?itok=edLNmUlV,Eau de toilette,Aromatique;Fruitée,2015,Olivier Pescheux,Inconnu,"L'enseigne Balmain fait figure de référence dans le milieu de la couture. En effet, chacune de ses créations est particulièrement soignée, faisant preuve d'une extrême rigueur et utilisant les plus belles matières premières.",Menthe;Romarin;Bergamote;Dihydromyrcénol,Pomme;Feuille de violette,Bois ambrés;Vanille;Fève tonka;Cèdre;Evernyl;Cashmeran
Decibel,https://www.olfastory.com/parfum/decibel,Azzaro,Eau de toilette,2011,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/decibel-azzaro.jpg?itok=xwXNj51x,Eau de toilette,Aldéhydée;Aromatique;Gourmande,2011,Christophe Raynaud,Inconnu,"Le décibel se définit de comme étant une unité de grandeur relative au son et au domaine de l'acoustique. En effet, nous exprimons couramment le niveau sonore sous la forme de décibels. Aussi, de prime abord, il ne s'agit pas là d'un nom relatif à la parfumerie. Et pourtant…",Aldéhydes,Violette;Réglisse,Vétiver;Bois ambrés;Fève tonka;Vanilline
Mania Homme,https://www.olfastory.com/parfum/mania-homme,Armani,Eau de toilette,2002,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/mania-homme.jpg?itok=DlBnWLtD,Eau de toilette,Epicée;Fruitée;Hespéridée;Poudrée,2002,Dominique Ropion;Francis Kurkdjian,Inconnu,"Armani Mania pour Homme est un parfum masculin ayant été créé en 2002. Celui-ci nous dépeint l'image d'une masculinité très affirmée. L'enseigne Armani disait alors que l'homme Armani Mania « ne devine pas, il sait ; il n'hésite pas, il agit ».",Mandarine;Baies roses;Petitgrain;Cassis;Laurier,Safran;Cèdre;Magnolia;Muguet;Pivoine,Vétiver;Vanille;Muscs blancs;Ambre gris
Diamonds for Men,https://www.olfastory.com/parfum/diamonds-men,Armani,Eau de toilette,2008,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/diamonds-for-men.jpg?itok=2fFl2lV3,Eau de toilette,Aromatique;Nouvelle Fraîcheur,2008,Jacques Cavallier,Inconnu,"Emporio Diamonds for Men fut dans un premier temps précédé par son homologue féminin. Mais après tout, pourquoi les femmes seraient-elles les seules à qui l'on offre des diamants ? L'homme n'a-t-il pas droit à cette pierre que l'on considère comme étant la plus solide au monde ?",Poivre noir;Bergamote;Citron,Inconnu,Vétiver;Ambre;Bois de gaiac;Cacao;Cèdre
Mr Burberry,https://www.olfastory.com/parfum/mr-burberry,Burberry,Eau de toilette,2016,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/mr-burberry.jpg?itok=GT6owuoI,Eau de toilette,Aromatique;Epicée,2016,Francis Kurkdjian,Inconnu,"Burberry est une enseigne à l'appartenance clairement britannique. En effet, cette grande maison de création est fière de ses origines et n'hésite pas à le faire savoir. Qui plus est, elle est également reconnue dans le monde entier pour son célèbre trench.",Menthe;Estragon;Dihydromyrcénol,Noix de muscade;Lavande;Cardamome;Note verte,Benjoin;Mousse de chêne;Vétiver;Bois ambrés;Santal;Cèdre
Body Kouros,https://www.olfastory.com/parfum/body-kouros,Yves Saint Laurent,Eau de toilette,2000,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/body-kouros.jpg?itok=VEv-jLdd,Eau de toilette,Gourmande;Nouvelle Fraîcheur,2000,Annick Menardo,"Body Kouros, une puissance ultra moderne","Body Kouros, une puissance ultra moderneC’est en 1961 qu’Yves Saint Laurent fonde sa maison de couture du même nom, rue de la Boëtie, à Paris.",Dihydromyrcénol;Eucalyptus;Macis,Encens;Cèdre,Benjoin;Muscs blancs
Kouros,https://www.olfastory.com/parfum/kouros,Yves Saint Laurent,Eau de toilette,1981,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/kouros.jpg?itok=HOTHq0bw,Eau de toilette,Cuir,1981,Pierre Bourdon,"Kouros, venez tester sa force d’attraction","Kouros, venez tester sa force d’attractionC’est en juillet 1961 qu’Yves Saint-Laurent, avec l’association de Pierre Bergé, décide de créer sa maison de haute couture. Yves Saint-Laurent réinvente la femme moderne en s’inspirant des classiques de la garde-robe masculine.",Armoise;Lavande;Aldéhydes;Coriandre,Girofle;Géranium;Oeillet,Mousse de chêne;Vétiver;Coumarine;Civette;Miel;Animalis
Black XS pour Lui,https://www.olfastory.com/parfum/black-xs-pour-lui,Paco Rabanne,Eau de toilette,2005,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/black-xs-pour-lui-eau-de-toilette-paco-rabanne.jpg?itok=hR4gmmUf,Eau de toilette,Fruitée,2005,Olivier Cresp,"Black XS pour lui, le parfum des hommes Paco Rabanne","Black XS pour lui, le parfum des hommes Paco RabannePaco Rabanne est considéré comme étant une véritable icône de la mode et de la parfumerie. Aussi, si son premier parfum vit le jour en 1969, l'univers olfactif de l'enseigne a depuis grandement évolué. Désormais, Paco Rabanne se plaît à nous dévoiler des duos de parfums.",Citron;Sauge sclarée,Cardamome;Fraise,Cannelle;Bois ambrés;Patchouli;Praline;Baume Tolu
Legend,https://www.olfastory.com/parfum/legend,Montblanc,Eau de toilette,2011,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/montblanc-legend.jpg?itok=D53T5jaK,Eau de toilette,Nouvelle Fraîcheur,2011,Olivier Pescheux,Le parfum Legend de Montblanc,"Le parfum Legend de MontblancMontblanc était au départ une entreprise familiale plutôt spécialisée dans la conception d'objets d'écriture que dans le parfum. Néanmoins, son excellence, la qualité de ses matériaux et son savoir-faire suffirent à asseoir rapidement sa notoriété.",Lavande;Bergamote;Dihydromyrcénol,Géranium,Mousse de chêne;Vétiver;Coumarine;Santal
The One for Men,https://www.olfastory.com/parfum/one-men,Dolce & Gabbana,Eau de toilette,2008,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/the-one-for-men.jpg?itok=qHtq0oB9,Eau de toilette,Ambrée;Epicée;Nouvelle Fraîcheur,2008,Olivier Polge,Le parfum Dolce & Gabbana The One Men,"Le parfum Dolce & Gabbana The One MenLors de la création de The One For Men, en 2008, par la maison Dolce & Gabbana, le message de ses créateurs, Domenico Dolce et Stefano Gabbana fut on ne peut plus clair : « Nous dédions The One For Men à l'homme Dolce & Gabbana : moderne, sensuel, cosmopolite, qui prend soin de lui et de son corps.",Pamplemousse;Coriandre;Basilic,Cardamome;Fleur d'Oranger;Gingembre,Tabac;Cèdre;Ambre gris
Dune pour Homme,https://www.olfastory.com/parfum/dune-pour-homme,Christian Dior,Eau de toilette,1997,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/dune-pour-homme.jpg?itok=_qWmPeEE,Eau de toilette,Verte,1997,Olivier Cresp,Dune pour Homme : Un voyage olfactif parfumé,Dune pour Homme : Un voyage olfactif parfuméGrâce à Dune pour femme nous avons découvert en 1991 la joie d’un monde de puretés et de senteurs naturelles.,Mandarine;Note marine;Basilic,Hédione;Figue,Muscs blancs;Fève tonka;Cèdre
Dior Homme Sport,https://www.olfastory.com/parfum/dior-homme-sport,Christian Dior,Eau de toilette,2008,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/dior-homme-sport.jpg?itok=MNZW3fv6,Eau de toilette,Epicée;Nouvelle Fraîcheur,2008,François Demachy,"Dior Homme Sport, fraichement énergique","Dior Homme Sport, fraichement énergiquePassionné de mode, Christian Dior fonde la marque en 1947. Son souhait est alors de sublimer les femmes, de faire naitre leur désir. Ses collections de prêt-à-porter qui surviennent juste après l’horreur de la guerre sont synonymes de beauté et de renouveau.",Lavande;Pamplemousse;Romarin;Bergamote;Dihydromyrcénol;Cédrat,Elemi;Gingembre,Vétiver;Santal;Cèdre
Only The Brave Tattoo,https://www.olfastory.com/parfum/only-brave-tattoo,Diesel,Eau de toilette,2012,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/only-the-brave-tattoo.jpg?itok=GzUlm8H_,Eau de toilette,Fruitée;Gourmande,2012,Alberto Morillas;Honorine Blanc,Inconnu,"Si l'histoire du tatouage est très difficile à retracer, nous savons sans conteste qu'il s'agit d'une pratique ancestrale. Pourtant, bien qu’étant de plus en plus démocratisée, celle-ci fut pendant très longtemps associée dans notre culture aux vilains garçons. Qu'à cela ne tienne, Diesel a pris le pari osé de se réapproprier cet art et de l'associer à l'un de ses parfums les plus audacieux.",Pomme,Poivre noir;Sauge sclarée,Benjoin;Bois ambrés;Patchouli;Tabac;Cacao
Platinum Égoïste,https://www.olfastory.com/parfum/platinum-egoiste,Chanel,Eau de toilette,1993,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/platinum-egoiste.jpg?itok=fB7tHge9,Eau de toilette,Fleurie;Musquée,1993,Jacques Polge,"Egoïste Platinum, éloquent mais tellement unique","Egoïste Platinum, éloquent mais tellement uniqueL’audace et l’avant-gardisme de Gabrielle Chanel s’appliquent aussi dans la création de parfums. Si « N°5 » connait toujours un succès intemporel, c’est qu’il a étonné et il a su répondre à une demande.",Menthe;Néroli;Coriandre,Romarin;Muguet;Sauge sclarée,Muscs blancs;Cèdre
